[0, 0, 0, 0, 0, 20, 10, 0, 10, 0, 30, 0, 21, 0, 0, 0, 0, 0, 10, 0, 0, 10, 21, 0, 0, 20, 0, 0, 0, 0, 0, 10, 11, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 10]
[10, 30, 10, 1, 11, 0, 0, 10, 0, 11, 10, 20, 0, 10, 10, 20, 10, 0, 0, 12, 11, 10, 0, 0, 32, 10, 0, 32, 10, 61, 0, 10, 90, 0, 41, 0, 0, 41, 0, 0, 0, 0, 0, 60, 10, 10, 20, 10, 10, 0]
[40, 30, 0, 10, 11, 60, 50, 31, 0, 20, 11, 10, 20, 43, 20, 30, 22, 50, 52, 22, 11, 11, 31, 10, 31, 1, 30, 0, 41, 10, 11, 30, 10, 21, 11, 40, 30, 1, 12, 11, 40, 2, 20, 20, 31, 0, 11, 10, 10, 20]
[21, 21, 31, 31, 20, 40, 42, 11, 31, 21, 20, 12, 0, 20, 10, 62, 1, 23, 1, 0, 33, 52, 0, 30, 42, 20, 42, 10, 60, 0, 22, 10, 50, 20, 10, 31, 31, 11, 1, 31, 40, 31, 21, 0, 21, 21, 51, 51, 11, 0]
[10, 21, 30, 31, 21, 32, 31, 0, 22, 11, 20, 1, 50, 21, 10, 0, 1, 43, 32, 42, 1, 32, 10, 20, 62, 32, 22, 52, 1, 43, 62, 20, 30, 20, 30, 61, 10, 41, 10, 11, 51, 20, 11, 41, 40, 42, 0, 44, 21, 30]
[43, 11, 40, 54, 52, 51, 43, 20, 41, 22, 11, 11, 60, 30, 50, 10, 30, 0, 0, 11, 30, 42, 0, 31, 11, 42, 33, 31, 31, 75, 20, 21, 51, 31, 22, 43, 20, 23, 32, 41, 22, 40, 71, 33, 12, 31, 12, 22, 31, 22]
[22, 12, 41, 12, 31, 31, 21, 31, 64, 20, 11, 11, 20, 0, 33, 1, 50, 12, 32, 12, 70, 33, 10, 20, 32, 32, 51, 62, 42, 32, 0, 33, 32, 10, 20, 1, 42, 0, 21, 20, 51, 75, 21, 41, 32, 30, 50, 10, 11, 40]
[71, 21, 10, 0, 52, 31, 0, 32, 1, 32, 32, 40, 34, 10, 11, 21, 32, 11, 41, 10, 31, 11, 43, 11, 1, 41, 32, 32, 11, 12, 61, 31, 32, 52, 22, 43, 11, 41, 22, 31, 52, 11, 11, 1, 1, 22, 31, 43, 22, 21]
[31, 50, 42, 50, 21, 71, 31, 32, 51, 31, 0, 43, 32, 52, 23, 0, 11, 20, 10, 21, 10, 33, 80, 62, 22, 63, 40, 51, 52, 42, 22, 41, 11, 42, 11, 61, 32, 11, 52, 51, 80, 60, 62, 10, 62, 22, 31, 32, 71, 62]
[30, 53, 52, 43, 43, 1, 50, 32, 20, 42, 41, 50, 60, 12, 42, 33, 10, 0, 33, 11, 10, 62, 20, 10, 22, 53, 31, 0, 50, 50, 33, 1, 41, 10, 42, 0, 51, 61, 41, 54, 40, 31, 31, 21, 12, 43, 0, 43, 42, 43]
[41, 33, 32, 30, 53, 20, 42, 30, 11, 42, 32, 22, 2, 41, 22, 11, 44, 211, 10, 0, 31, 22, 31, 22, 61, 11, 11, 32, 10, 30, 51, 53, 30, 50, 31, 32, 22, 30, 41, 51, 11, 43, 42, 42, 31, 32, 90, 23, 13, 81]
