[0, 0, 31, 10, 0, 0, 10, 0, 10, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 10]
[0, 20, 0, 30, 0, 0, 0, 10, 20, 0, 0, 0, 0, 10, 20, 0, 0, 0, 10, 10]
[0, 10, 10, 0, 10, 0, 20, 20, 20, 10, 10, 10, 30, 0, 20, 10, 0, 1, 10, 10]
[20, 10, 10, 10, 0, 10, 20, 0, 10, 20, 0, 0, 0, 0, 10, 10, 0, 0, 0, 0]
[10, 10, 10, 10, 20, 0, 10, 10, 10, 0, 10, 0, 10, 0, 0, 0, 10, 0, 20, 10]
[0, 10, 1, 10, 10, 20, 10, 0, 0, 10, 0, 10, 20, 0, 10, 0, 10, 10, 0, 10]
[0, 0, 10, 10, 0, 0, 0, 0, 0, 30, 10, 20, 30, 20, 10, 0, 30, 0, 10, 0]
[10, 0, 0, 20, 10, 10, 20, 0, 10, 10, 0, 10, 10, 0, 10, 10, 0, 10, 0, 10]
[10, 0, 0, 30, 10, 10, 11, 10, 10, 0, 10, 10, 0, 1, 10, 20, 0, 0, 0, 0]
[0, 20, 10, 10, 0, 0, 0, 20, 20, 30, 0, 10, 30, 30, 20, 0, 0, 10, 0, 20]
[10, 0, 20, 10, 10, 20, 10, 0, 20, 10, 11, 10, 10, 10, 0, 0, 1, 10, 0, 0]
[10, 20, 10, 0, 10, 11, 30, 10, 0, 10, 10, 10, 10, 20, 0, 10, 10, 20, 10, 10]
[0, 12, 40, 10, 10, 10, 20, 0, 30, 10, 10, 0, 0, 10, 30, 0, 0, 0, 0, 20]
[10, 30, 1, 10, 20, 10, 10, 10, 0, 0, 20, 20, 10, 10, 0, 0, 20, 20, 1, 20]
[10, 10, 10, 0, 12, 1, 20, 1, 20, 10, 10, 0, 20, 20, 0, 30, 30, 0, 0, 10]
[20, 10, 20, 0, 10, 0, 0, 0, 10, 0, 10, 20, 20, 10, 20, 0, 30, 1, 20, 10]
[10, 1, 10, 10, 10, 10, 20, 10, 10, 10, 20, 11, 0, 10, 10, 10, 0, 20, 10, 11]
[10, 20, 1, 10, 20, 20, 30, 10, 20, 10, 0, 10, 1, 10, 10, 10, 10, 20, 10, 20]
[0, 10, 0, 10, 0, 10, 10, 20, 10, 10, 0, 10, 10, 10, 10, 12, 10, 60, 0, 20]
[0, 0, 10, 10, 0, 0, 0, 0, 30, 10, 0, 20, 10, 20, 10, 10, 10, 10, 0, 20]
[10, 20, 1, 0, 0, 10, 0, 10, 0, 31, 20, 20, 20, 0, 0, 40, 10, 10, 10, 10]
[10, 0, 10, 20, 20, 10, 10, 0, 10, 10, 10, 10, 10, 0, 0, 40, 0, 10, 10, 10]
[10, 10, 20, 0, 10, 11, 1, 1, 10, 10, 30, 20, 10, 10, 1, 10, 22, 0, 20, 0]
[0, 0, 30, 10, 10, 1, 10, 20, 1, 0, 10, 10, 20, 10, 0, 10, 0, 0, 0, 10]
[10, 10, 0, 20, 10, 10, 10, 10, 10, 10, 0, 10, 0, 1, 10, 0, 10, 11, 10, 1]
[1, 0, 10, 0, 0, 10, 10, 10, 10, 20, 10, 0, 30, 10, 30, 10, 10, 10, 0, 20]
[0, 0, 0, 10, 10, 20, 10, 20, 0, 1, 10, 0, 10, 0, 1, 20, 20, 20, 0, 10]
[20, 20, 0, 10, 0, 0, 0, 0, 0, 0, 10, 40, 30, 20, 10, 0, 20, 1, 10, 10]
[20, 20, 20, 0, 10, 30, 20, 10, 20, 30, 30, 20, 1, 0, 40, 30, 10, 0, 10, 11]
[0, 20, 20, 1, 0, 1, 10, 10, 10, 10, 10, 10, 10, 20, 10, 10, 0, 11, 0, 20]
[10, 0, 10, 0, 10, 0, 1, 10, 0, 10, 30, 30, 10, 10, 0, 20, 20, 20, 0, 30]
[20, 10, 20, 20, 10, 10, 10, 0, 20, 0, 30, 10, 20, 10, 12, 10, 10, 10, 30, 20]
[10, 10, 30, 10, 0, 10, 20, 10, 20, 10, 0, 0, 10, 20, 10, 10, 0, 20, 0, 1]
[1, 40, 10, 1, 10, 10, 0, 20, 20, 10, 10, 10, 0, 30, 10, 10, 10, 1, 20, 40]
[10, 10, 0, 1, 0, 10, 10, 50, 10, 20, 0, 10, 10, 0, 20, 10, 10, 20, 30, 10]
[20, 0, 20, 20, 10, 0, 20, 1, 10, 10, 30, 0, 0, 10, 0, 0, 0, 0, 20, 10]
[10, 30, 20, 0, 20, 10, 20, 10, 0, 10, 0, 30, 0, 11, 20, 10, 0, 10, 0, 20]
[10, 10, 0, 0, 10, 0, 20, 0, 0, 20, 20, 20, 20, 10, 40, 10, 20, 10, 1, 10]
[10, 0, 40, 20, 10, 10, 0, 0, 20, 10, 10, 10, 10, 30, 0, 0, 10, 30, 0, 0]
[11, 0, 50, 1, 20, 10, 10, 0, 10, 10, 0, 30, 0, 10, 0, 10, 40, 10, 1, 20]
[20, 11, 20, 40, 10, 0, 30, 30, 20, 20, 20, 40, 0, 20, 1, 10, 20, 0, 10, 10]
[10, 20, 10, 10, 10, 20, 10, 10, 30, 20, 11, 0, 10, 0, 30, 12, 10, 20, 20, 0]
[10, 10, 20, 20, 30, 0, 30, 30, 0, 40, 0, 1, 20, 0, 30, 0, 0, 11, 10, 0]
[0, 30, 0, 20, 40, 10, 10, 30, 1, 10, 10, 20, 0, 20, 30, 20, 1, 0, 20, 0]
[10, 10, 10, 1, 30, 10, 10, 30, 20, 0, 0, 0, 1, 50, 10, 10, 20, 20, 0, 10]
[20, 0, 10, 20, 0, 11, 0, 0, 30, 0, 20, 10, 10, 20, 20, 40, 0, 40, 0, 30]
[33, 10, 0, 0, 30, 10, 0, 20, 20, 0, 0, 20, 40, 21, 10, 20, 10, 30, 20, 0]
[10, 10, 10, 10, 10, 20, 0, 20, 10, 20, 10, 1, 10, 10, 10, 10, 0, 10, 1, 20]
[10, 10, 20, 0, 0, 10, 10, 20, 10, 10, 1, 10, 1, 10, 0, 20, 0, 10, 20, 21]
[1, 1, 20, 10, 10, 1, 10, 20, 10, 20, 10, 10, 20, 10, 11, 10, 10, 30, 10, 20]
[0, 10, 0, 20, 10, 30, 10, 31, 20, 10, 30, 10, 31, 10, 20, 20, 10, 10, 10, 10]
[20, 10, 0, 20, 20, 0, 21, 0, 20, 40, 20, 0, 10, 10, 30, 30, 30, 10, 10, 30]
[0, 1, 0, 10, 10, 41, 40, 10, 20, 10, 30, 20, 1, 10, 0, 30, 10, 10, 0, 0]
[20, 1, 0, 21, 10, 0, 20, 20, 10, 1, 30, 10, 0, 0, 0, 0, 20, 10, 30, 20]
[30, 10, 11, 30, 20, 10, 1, 11, 10, 10, 1, 10, 0, 30, 0, 20, 10, 0, 10, 10]
[10, 40, 50, 10, 0, 20, 20, 10, 0, 11, 10, 1, 0, 41, 11, 10, 0, 0, 0, 10]
[20, 10, 20, 0, 1, 10, 20, 20, 22, 0, 10, 30, 30, 10, 20, 20, 10, 0, 30, 1]
